source,description,description_clean,unit_clean,quantity,rate,material,grade,thickness_mm,thickness_assumed,emission_factor,ef_unit,ef_source,ef_label,cci,cci_label,cci_outlier,extr_method,prop_grade
Bot,"Providing Pre-constructional anti- termite treatment and creating a chemical barrier to the building by injecting chemical emulsion of required concentrations under grade slab and Grade beam,  around the Plinth, Plinth filling, trenches, junction of wall and floor, Retaining / side walls of basement floor, external perimeter of building, surrounding of pipes, expansion joints, below UG sump and etc.as per instructions of chemical manufacturer and all as directed.  The treatment shall be carried out strictly in accordance with the technical specification and conforming to IS 6313  or equivalent BS  specification.  The chemical to be used as insecticides for the treatment shall be 50% EC (Imidacloprid 30.5 SC)and the application shall be dilute one part of chemical  50% EC with 49 parts of water to get 1% emulsion and strictly in accordance with the manufacturer's specification.
Note : Measurement taken along external periphery of the building. Treatment shall extend to a width of 1m around the building. (Including 10 years warranty).",providing pre constructional anti termite treatment and creating a chemical barrier to the building by injecting chemical emulsion of required concentrations under grade slab and grade beam around the plinth plinth filling trenches junction of wall and floor retaining side walls of basement floor external perimeter of building surrounding of pipes expansion joints below ug sump and etc as per instructions of chemical manufacturer and all as directed the treatment shall be carried out strictly in accordance with the technical specification and conforming to is 6313 or equivalent bs specification the chemical to be used as insecticides for the treatment shall be 50 ec imidacloprid 30 5 sc and the application shall be dilute one part of chemical 50 ec with 49 parts of water to get 1 emulsion and strictly in accordance with the manufacturer s specification note measurement taken along external periphery of the building treatment shall extend to a width of 1m around the building including 10 years warranty,m2,17302.0,,anti_termite,,,False,,,,no_ice_ef,,no_ef_no_cci,False,keyword,
Bot,"Providing and laying Plum concrete using lean concrete of grade M5 wherever specified using cement, fine aggregates, 40mm  down size metal and boulders of 150mm (proportion 60: 40 for concrete : boulder) including sub grade base preparation, levelling, laying and placing of concrete and boulders in sequential manner to achieve a solid mass including all leads and lifts, rough finishing at the top surface, curing and temporary formwork if necessary etc., complete at all levels as directed by Client / the Engineer and as per drawings.",providing and laying plum concrete using lean concrete of grade m5 wherever specified using cement fine aggregates down size metal and boulders of proportion 60 40 for concrete boulder including sub grade base preparation levelling laying and placing of concrete and boulders in sequential manner to achieve a solid mass including all leads and lifts rough finishing at the top surface curing and temporary formwork if necessary etc complete at all levels as directed by client the engineer and as per drawings,m3,1879.0,,concrete,M5,,False,150.6,kgCO2e/m3,ICE V4.1 Concrete CEM I M5,has_ef,,predict_cci,False,grade_propagation,M5
Bot,"Below raft, Footings, Grade Slab etc",below raft footings grade slab etc,m3,2828.0,,concrete,M10,,False,232.8,kgCO2e/m3,ICE V4.1 Concrete CEM I M10,has_ef,,predict_cci,False,grade_propagation,M10
Bot,"DPC , Copings, shaft screed, cill concrete, filled up ramps etc.,",dpc copings shaft screed cill concrete filled up ramps etc,m3,120.0,,waterproofing,,,False,,,,no_ice_ef,,no_ef_no_cci,False,keyword,M15
Bot,Below Grade slab,below grade slab,m2,17193.0,,concrete,M15,150.0,True,40.215,kgCO2e/m2,ICE V4.1 Concrete CEM I M15 × 150mm,has_ef,,predict_cci,False,grade_propagation_m2,M15
Bot,"Foundations for all vertical elements including independent, combined, raft, etc; ",foundations for all vertical elements including independent combined raft etc,m3,13932.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Grade slab ,grade slab,m3,2825.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Retaining Wall,retaining wall,m3,1045.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Ramp Beam,ramp beam,m3,120.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
Bot,Ramp slab,ramp slab,m3,344.0,,concrete,M30,,False,331.2,kgCO2e/m3,ICE V4.1 Concrete CEM I M30,has_ef,,predict_cci,False,grade_propagation,M30
