source,description,description_clean,unit_clean,quantity,rate,material,grade,emission_factor,ef_unit,cci,cci_label,log_cci,split
Bot,"Providing and laying Plum concrete using lean concrete of grade M5 wherever specified using cement, fine aggregates, 40mm  down size metal and boulders of 150mm (proportion 60: 40 for concrete : boulder) including sub grade base preparation, levelling, laying and placing of concrete and boulders in sequential manner to achieve a solid mass including all leads and lifts, rough finishing at the top surface, curing and temporary formwork if necessary etc., complete at all levels as directed by Client / the Engineer and as per drawings.",providing and laying plum concrete using lean concrete of grade m5 wherever specified using cement fine aggregates down size metal and boulders of proportion 60 40 for concrete boulder including sub grade base preparation levelling laying and placing of concrete and boulders in sequential manner to achieve a solid mass including all leads and lifts rough finishing at the top surface curing and temporary formwork if necessary etc complete at all levels as directed by client the engineer and as per drawings,m3,1879.0,,concrete,M5,150.6,kgCO2e/m3,,predict_cci,,predict
Bot,"Below raft, Footings, Grade Slab etc",below raft footings grade slab etc,m3,2828.0,,concrete,M10,232.8,kgCO2e/m3,,predict_cci,,predict
Bot,Below Grade slab,below grade slab,m2,17193.0,,concrete,M15,40.215,kgCO2e/m2,,predict_cci,,predict
Bot,"Foundations for all vertical elements including independent, combined, raft, etc; ",foundations for all vertical elements including independent combined raft etc,m3,13932.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Grade slab ,grade slab,m3,2825.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Retaining Wall,retaining wall,m3,1045.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Ramp Beam,ramp beam,m3,120.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Ramp slab,ramp slab,m3,344.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Pedestals,pedestals,m3,30.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Trenches / Ramp drain ,trenches ramp drain,m3,588.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Lintels,lintels,m3,95.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Plinth Beam,plinth beam,m3,20.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Parapet wall,parapet wall,m3,766.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,RC Upstands,rc upstands,m3,322.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Bottom Slab,bottom slab,m3,305.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
Bot,Walls,walls,m3,290.0,,concrete,M30,331.2,kgCO2e/m3,,predict_cci,,predict
