source,description,description_clean,unit_clean,quantity,rate,material,grade,emission_factor,ef_unit,cci,cci_label,log_cci,split
PA,up to 3.00m depth,up to 3 00m depth,m3,51888.74,131.0,concrete,M20,284.9,kgCO2e/m3,0.4598,has_cci,0.37829944003539484,train
PA,3.00m to 6.00m depth,3 00m to 6 00m depth,m3,51340.526,149.0,concrete,M20,284.9,kgCO2e/m3,0.523,has_cci,0.4206820739130248,train
PA,6.00m to 9.00m depth,6 00m to 9 00m depth,m3,34269.227000000006,168.0,concrete,M20,284.9,kgCO2e/m3,0.5897,has_cci,0.46354531918468905,train
PA,9.00m to 12.00m depth,9 00m to 12 00m depth,m3,6002.941,184.0,concrete,M20,284.9,kgCO2e/m3,0.6458,has_cci,0.4982265881894755,train
PA,"Same as item No - 1.01 but for general excavation in Hard rock/ boulders (more than 1/2 Cum in size -Un-poclainable) by chiselling/ wedging to the required level & depth including all leads and lifts, using serviceable excavated material within plot at approved location , de-watering of both ground and surface water, removal of slurry generated while excavation and keeping the area free of water with necessary shoring, strutting, stepping, dressing, grading required  for keeping earth in position, excavating loose pockets and compacting them after back filling as directed etc. as per detailed specification and conforming to safety rules during progress of the work.  
Note:PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately. Mode of measurrement shall be by joint measurements/ levels before and after excavation).",same as item no 1 01 but for general excavation in hard rock boulders more than 1 2 cum in size un poclainable by chiselling wedging to the required level depth including all leads and lifts using serviceable excavated material within plot at approved location de watering of both ground and surface water removal of slurry generated while excavation and keeping the area free of water with necessary shoring strutting stepping dressing grading required for keeping earth in position excavating loose pockets and compacting them after back filling as directed etc as per detailed specification and conforming to safety rules during progress of the work note pcc area shall be considered for measurement working space provision of slopes if required for execution shall not be paid separately mode of measurrement shall be by joint measurements levels before and after excavation,m3,2374.61,3634.0,concrete,M20,284.9,kgCO2e/m3,12.7554,has_cci,2.621431474288137,train
PA,"Excavation in all types of soil including dense soil, disintegrated/ weathered/ soft rock (Poclainable) for Footings of columns, Retaining walls, Core walls, catch pits, Lift pits, trenches for drains, etc., by mechanical means including manual excavation for leveling, dressing the edges, with all leads and lifts.Dewatering of both ground and surface water, removal of slurry generated while excavation and keeping the area free of water with necessary shoring, struting, required for keeping earth in position etc,  Rate to include disposing the excess earth and spreading in layers to the required levels within the site wherever specified . 
Note:PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately).",excavation in all types of soil including dense soil disintegrated weathered soft rock poclainable for footings of columns retaining walls core walls catch pits lift pits trenches for drains etc by mechanical means including manual excavation for leveling dressing the edges with all leads and lifts dewatering of both ground and surface water removal of slurry generated while excavation and keeping the area free of water with necessary shoring struting required for keeping earth in position etc rate to include disposing the excess earth and spreading in layers to the required levels within the site wherever specified note pcc area shall be considered for measurement working space provision of slopes if required for execution shall not be paid separately,m3,4890.156,213.0,concrete,M20,284.9,kgCO2e/m3,0.7476,has_cci,0.5582434180951438,train
PA,"Same as Item (1.02) but for excavation in Hard rock / boulders (more than 1/2 Cum in size -un poclainable) by chiseling/ wedging to required level for footings, trenches, rafts, catch pits, drains etc. to the required depth including all leads and lifts, using serviceable excavated material within plot at approved location as directed, dressing, grading, cleaning, excavating loose pockets and compacting them after backfilling as directed etc. as per detailed specification and conforming to safety rules of Authority during the progress of work.  
Note:PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately. Mode of measurrement shall be by joint measurements/ levels before and after excavation).",same as item 1 02 but for excavation in hard rock boulders more than 1 2 cum in size un poclainable by chiseling wedging to required level for footings trenches rafts catch pits drains etc to the required depth including all leads and lifts using serviceable excavated material within plot at approved location as directed dressing grading cleaning excavating loose pockets and compacting them after backfilling as directed etc as per detailed specification and conforming to safety rules of authority during the progress of work note pcc area shall be considered for measurement working space provision of slopes if required for execution shall not be paid separately mode of measurrement shall be by joint measurements levels before and after excavation,m3,81.75999999999999,3761.0,concrete,M20,284.9,kgCO2e/m3,13.2011,has_cci,2.6533194263957056,train
PA, With excavated earth available at site,with excavated earth available at site,m3,16746.92,135.0,concrete,M20,284.9,kgCO2e/m3,0.4739,has_cci,0.3879119488605752,train
PA, With approved quality earth brought from outside (Cost to include royalty charges),with approved quality earth brought from outside cost to include royalty charges,m3,165.0,372.0,concrete,M20,284.9,kgCO2e/m3,1.3057,has_cci,0.8353843179804306,train
PA,"Providing and laying in position 150mm thick soling with sand cushion of 50mm thick including the cost of sandcushion, Base preparation by Mechanical compaction, using granite hand broken metal/ Rubble and smaller pebbles for void filling, moorum for binding as directed by the Engineer-in-charge including watering,packing, compaction etc., below Grade Slab",providing and laying in position thick soling with sand cushion of thick including the cost of sandcushion base preparation by mechanical compaction using granite hand broken metal rubble and smaller pebbles for void filling moorum for binding as directed by the engineer in charge including watering packing compaction etc below grade slab,m2,140.0,422.0,tile,,17.512,kgCO2e/m2,24.0978,has_cci,3.2227801928939144,train
