Model,Fold,n_test,MAE,RMSE,R2
Lasso Regression,1,47,52.7066,104.2083,0.3043
Lasso Regression,2,47,43.4997,100.4534,0.4212
Lasso Regression,3,47,76.6953,145.5623,0.2375
Lasso Regression,4,46,42.1296,70.3104,0.6004
Lasso Regression,5,46,51.4616,114.7398,0.4415
Ridge Regression,1,47,53.7637,106.6986,0.2706
Ridge Regression,2,47,47.6549,105.2413,0.3647
Ridge Regression,3,47,87.8692,156.5297,0.1183
Ridge Regression,4,46,47.7866,87.3096,0.3838
Ridge Regression,5,46,63.4108,120.5951,0.3831
Decision Tree,1,47,34.1214,71.8096,0.6696
Decision Tree,2,47,31.2059,84.4757,0.5907
Decision Tree,3,47,56.1841,144.8483,0.245
Decision Tree,4,46,40.6734,108.4607,0.0491
Decision Tree,5,46,64.4028,131.4869,0.2666
Random Forest,1,47,46.845,96.2543,0.4064
Random Forest,2,47,41.8822,96.0508,0.4709
Random Forest,3,47,71.6458,152.2102,0.1663
Random Forest,4,46,43.2994,89.2151,0.3566
Random Forest,5,46,66.5303,143.0008,0.1326
XGBoost,1,47,28.4146,56.5993,0.7948
XGBoost,2,47,23.5401,55.9532,0.8204
XGBoost,3,47,49.5879,119.7841,0.4837
XGBoost,4,46,32.9507,84.6638,0.4206
XGBoost,5,46,53.5335,109.4768,0.4916
SVR,1,47,29.9154,78.1823,0.6084
SVR,2,47,28.8967,82.5086,0.6095
SVR,3,47,45.625,104.7745,0.6049
SVR,4,46,41.0811,95.931,0.2561
SVR,5,46,49.9411,106.8647,0.5156
Neural Network,1,47,47.9101,101.8299,0.3356
Neural Network,2,47,44.8578,99.1099,0.4366
Neural Network,3,47,74.5748,140.6992,0.2876
Neural Network,4,46,87.1309,295.3165,-6.0499
Neural Network,5,46,69.7233,141.711,0.1481
