material,grade,ef_unit,count,ef_value
concrete,M10,kgCO2e/m2,7,46.56
concrete,M10,kgCO2e/m3,105,232.8
concrete,M15,kgCO2e/m2,23,40.215
concrete,M15,kgCO2e/m3,15,268.1
concrete,M20,kgCO2e/m2,71,21.3675
concrete,M20,kgCO2e/m3,72,284.9
concrete,M25,kgCO2e/m2,21,22.635
concrete,M25,kgCO2e/m3,40,301.8
concrete,M30,kgCO2e/m2,44,41.4
concrete,M30,kgCO2e/m3,221,331.2
concrete,M35,kgCO2e/m2,18,26.7225
concrete,M35,kgCO2e/m3,11,356.3
concrete,M40,kgCO2e/m3,24,381.5
concrete,M45,kgCO2e/m3,10,400.0
concrete,M5,kgCO2e/m3,3,150.6
concrete,M50,kgCO2e/m3,14,420.0
steel,Fe500,kgCO2e/kg,7,1.72
