project,scenario,ggbs_pct,concrete_volume_m3,carbon_tCO2e,baseline_tCO2e,reduction_tCO2e,reduction_pct,cost_premium_INR_M
Bot,A_baseline,0,42114.0,13232.89,13232.89,0.0,0.0,0.0
Bot,B_30pct,30,42114.0,10023.45,13232.89,3209.44,24.25,2.6848
Bot,C_50pct,50,42114.0,7883.82,13232.89,5349.07,40.42,4.4746
Eco,A_baseline,0,36391.4,11680.1,11680.1,0.0,0.0,0.0
Eco,B_30pct,30,36391.4,8860.82,11680.1,2819.28,24.14,2.32
Eco,C_50pct,50,36391.4,6981.31,11680.1,4698.8,40.23,3.8666
Mall,A_baseline,0,101695.0,33249.94,33249.94,0.0,0.0,0.0
Mall,B_30pct,30,101695.0,25227.65,33249.94,8022.28,24.13,6.4831
Mall,C_50pct,50,101695.0,19879.46,33249.94,13370.47,40.21,10.8051
Zen,A_baseline,0,52326.0,15668.56,15668.56,0.0,0.0,0.0
Zen,B_30pct,30,52326.0,11898.52,15668.56,3770.04,24.06,3.3358
Zen,C_50pct,50,52326.0,9385.16,15668.56,6283.4,40.1,5.5596
PA,A_baseline,0,302119.4,93277.93,93277.93,0.0,0.0,0.0
PA,B_30pct,30,302119.4,70833.87,93277.93,22444.06,24.06,19.2601
PA,C_50pct,50,302119.4,55871.16,93277.93,37406.76,40.1,32.1002
