source,description,grade,unit_clean,quantity_m3,ef_baseline,scenario,ggbs_fraction,ef_adjusted,carbon_kgCO2e,premium_inr,saved_per_m3
Bot,Providing and laying Plum concrete using lean concrete of grade M5 wherever spec,M5,m3,1879.0,150.6,A_baseline,0.0,150.6,282977.4,0.0,0.0
Bot,Providing and laying Plum concrete using lean concrete of grade M5 wherever spec,M5,m3,1879.0,150.6,B_30pct,0.3,105.0,197295.0,119786.25,45.6
Bot,Providing and laying Plum concrete using lean concrete of grade M5 wherever spec,M5,m3,1879.0,150.6,C_50pct,0.5,74.6,140173.4,199643.75,76.0
Bot,"Below raft, Footings, Grade Slab etc",M10,m3,2828.0,232.8,A_baseline,0.0,232.8,658358.4,0.0,0.0
Bot,"Below raft, Footings, Grade Slab etc",M10,m3,2828.0,232.8,B_30pct,0.3,175.8,497162.4,180285.0,57.0
Bot,"Below raft, Footings, Grade Slab etc",M10,m3,2828.0,232.8,C_50pct,0.5,137.8,389698.4,300475.0,95.0
Bot,"Foundations for all vertical elements including independent, combined, raft, etc",M30,m3,13932.0,331.2,A_baseline,0.0,331.2,4614278.4,0.0,0.0
Bot,"Foundations for all vertical elements including independent, combined, raft, etc",M30,m3,13932.0,331.2,B_30pct,0.3,251.4,3502504.8,888165.0,79.8
Bot,"Foundations for all vertical elements including independent, combined, raft, etc",M30,m3,13932.0,331.2,C_50pct,0.5,198.2,2761322.4,1480275.0,133.0
Bot,Grade slab ,M30,m3,2825.0,331.2,A_baseline,0.0,331.2,935640.0,0.0,0.0
Bot,Grade slab ,M30,m3,2825.0,331.2,B_30pct,0.3,251.4,710205.0,180093.75,79.8
Bot,Grade slab ,M30,m3,2825.0,331.2,C_50pct,0.5,198.2,559915.0,300156.25,133.0
Bot,Retaining Wall,M30,m3,1045.0,331.2,A_baseline,0.0,331.2,346104.0,0.0,0.0
Bot,Retaining Wall,M30,m3,1045.0,331.2,B_30pct,0.3,251.4,262713.0,66618.75,79.8
Bot,Retaining Wall,M30,m3,1045.0,331.2,C_50pct,0.5,198.2,207119.0,111031.25,133.0
Bot,Ramp Beam,M30,m3,120.0,331.2,A_baseline,0.0,331.2,39744.0,0.0,0.0
Bot,Ramp Beam,M30,m3,120.0,331.2,B_30pct,0.3,251.4,30168.0,7650.0,79.8
Bot,Ramp Beam,M30,m3,120.0,331.2,C_50pct,0.5,198.2,23784.0,12750.0,133.0
Bot,Ramp slab,M30,m3,344.0,331.2,A_baseline,0.0,331.2,113932.8,0.0,0.0
Bot,Ramp slab,M30,m3,344.0,331.2,B_30pct,0.3,251.4,86481.6,21930.0,79.8
Bot,Ramp slab,M30,m3,344.0,331.2,C_50pct,0.5,198.2,68180.8,36550.0,133.0
Bot,Pedestals,M30,m3,30.0,331.2,A_baseline,0.0,331.2,9936.0,0.0,0.0
Bot,Pedestals,M30,m3,30.0,331.2,B_30pct,0.3,251.4,7542.0,1912.5,79.8
Bot,Pedestals,M30,m3,30.0,331.2,C_50pct,0.5,198.2,5946.0,3187.5,133.0
Bot,Trenches / Ramp drain ,M30,m3,588.0,331.2,A_baseline,0.0,331.2,194745.6,0.0,0.0
Bot,Trenches / Ramp drain ,M30,m3,588.0,331.2,B_30pct,0.3,251.4,147823.2,37485.0,79.8
Bot,Trenches / Ramp drain ,M30,m3,588.0,331.2,C_50pct,0.5,198.2,116541.6,62475.0,133.0
Bot,Lintels,M30,m3,95.0,331.2,A_baseline,0.0,331.2,31464.0,0.0,0.0
Bot,Lintels,M30,m3,95.0,331.2,B_30pct,0.3,251.4,23883.0,6056.25,79.8
Bot,Lintels,M30,m3,95.0,331.2,C_50pct,0.5,198.2,18829.0,10093.75,133.0
Bot,Plinth Beam,M30,m3,20.0,331.2,A_baseline,0.0,331.2,6624.0,0.0,0.0
Bot,Plinth Beam,M30,m3,20.0,331.2,B_30pct,0.3,251.4,5028.0,1275.0,79.8
Bot,Plinth Beam,M30,m3,20.0,331.2,C_50pct,0.5,198.2,3964.0,2125.0,133.0
